Oenothera,speciosa,Pink Primrose
Paphiopedilum,micranthum,Hard-leaved Pocket Orchid
Campanula,medium,Canterbury Bells
Lathyrus,odoratus,Sweet Pea
Calendula,officinalis,English Marigold
Lilium,columbianum,Tiger Lily
Phalaenopsis,aphrodite,Moon Orchid
Strellitzia,,Bird of Paradise
Aconitum,,Monkshood
Echinops,sphaerocephalus,Globe Thistle
Antirrhinum,,Snapdragon
Tussilago,farfara,Colt's Foot
Protea,cynaroides,King Protea
Cirsium,vulgare,Spear Thistle
Iris,pseudacorus,Yellow Iris
Trollius,europaeus,Globe-Flower
Echinacea,9 species,Purple Coneflower
Alstroemeria,,Peruvian Lily
Platycodon,grandiflorus,Balloon Flower
Zantedeschia,aethiopica,Giant White Arum Lily
Gloriosa,superba,Fire Lily (Glory Lily)
Scabiosa,,Pincushion Flower
Fritillaria,,Fritillary
Alpinia,purpurata,Red Ginger
Muscari,,Grape Hyacinth
Papaver,rhoeas,Corn Poppy
Amaranth,,Prince of Wales' Feathers
Gentiana,acaulis,Stemless Gentian
Cynara,cardunculus,Artichoke
Dianthus,barbatus,Sweet William
Dianthus,caryophyllus,Carnation
Phlox,paniculata,Garden Phlox
Nigella,damascena,Love in the Mist
Cosmos,bipinnatus,Mexican Aster
Eryngium,alpinum,Alpine Sea Holly
Cattleya,labiata,Ruby-lipped Cattleya
Nerine,bowdenii,Cape Flower
Astrantia,major,Great Masterwort
Curcuma,alismatifolia,Siam Tulip
Helleborus,orientalis,Lenten Rose
Gerbera,Jamesonl,Barbeton Daisy
Narcissus,,Daffodil
Gladiolus,,Sword Lily
Euphorbia,pulcherrima,Poinsettia
Eustoma,russellianum,Bolero Deep Blue
Erysimum,,Wallflower
Tagetes,,Marigold
Ranunculus,,Buttercup
Leucanthemum,vulgare,Oxeye Daisy
Taraxacum,officinale,Common Dandelion
petunia,,Petunia
Viola,tricolor,Wild Pansy
Primula,,Primula
Helianthus,annuus,Sunflower
Pelargonium,,Pelargonium
Dahlia,hortensis,Bishop of Llandaff
Gaura,,Gaura
Geranium,,Geranium
Dahlia,,Orange Dahlia
Dahlia,,Pink-yellow Dahlia
Cautleya,spicata,Cautleya Spicata
Anemone,hupehensis,Japanese Anemone
Rudbeckia,hirta,Black-eyed Susan
Convolvulus,cneorum,Silverbush
Eschscholzia,californica,Californian Poppy
Osteospermum,,Osteospermum
Crocus,vernus,Spring Crocus
Iris,,Bearded Iris
Anemone,nemorosa,Windflower
Romneya,,Tree Poppy
Gazania,,Gazania
Rhododendron,Pentanthera & Tsutsuji,Azalea
(it is a family),,Water Lily
Rosa,,Rose
Crataegus,,Thorn Apple
Ipomoea (guessed),purpurea,Morning Glory
Passiflora,,Passion Flower
Nelumbo,nucifera,Lotus
Tricyrtis,,Toad Lily
Anthurium,,Anthurium
Plumeria,,Frangipani
Clematis,,Clematis
Hibiscus,,Hibiscus
Aquilegia,,Columbine
Adenium,,Desert-rose
Lavatera,,Tree Mallow
magnolia,,Magnolia
cyclamen,,Cyclamen
(it is a family),,Watercress
Canna,,Canna Lily
Hippeastrum,,Hippeastrum
Monarda,,Bee Balm
Tillandsia,recurvata,Ball Moss
Digitalis,,Foxglove
Bougainvillea,,Bougainvillea
Camellia,,Camellia
Malva,,Mallow
Ruellia,angustifolia,Mexican Petunia
Bromelia,,Bromelia
Gaillardia,,Blanket Flower
Campsis,radicans,Trumpet Creeper
Iris,domestica,Blackberry Lily
